"NUM_OC","FECHA_CIERRE_TAREA","TIPO_SLA","ANS2","mes"
"2936762",2021-02-09 11:37:53,"SLA8","Cumple",2021-02-01
"2937025",2021-02-09 14:51:37,"SLA8","Cumple",2021-02-01
"2937026",2021-02-09 14:32:11,"SLA8","Cumple",2021-02-01
"2937050",2021-02-09 16:22:36,"SLA8","Cumple",2021-02-01
"2937236",2021-02-09 15:06:04,"SLA8","Cumple",2021-02-01
"2937250",2021-02-09 14:58:57,"SLA8","Cumple",2021-02-01
"2937294",2021-02-09 15:37:59,"SLA8","Cumple",2021-02-01
"2937408",2021-02-10 12:41:08,"SLA8","Cumple",2021-02-01
"2937540",2021-02-09 18:07:16,"SLA8","Cumple",2021-02-01
"2937604",2021-02-09 18:53:10,"SLA8","Cumple",2021-02-01
"2937606",2021-02-09 18:57:11,"SLA8","Cumple",2021-02-01
"2937704",2021-03-11 11:58:37,"SLA8","Incumple",2021-03-01
"2937723",2021-02-09 19:08:16,"SLA8","Cumple",2021-02-01
"2937730",2021-02-09 19:49:37,"SLA8","Cumple",2021-02-01
"2937942",2021-02-10 08:30:18,"SLA8","Cumple",2021-02-01
"2938139",2021-02-10 09:28:27,"SLA8","Cumple",2021-02-01
"2938199",2021-02-10 10:18:36,"SLA8","Cumple",2021-02-01
"2938205",2021-02-10 10:04:30,"SLA8","Cumple",2021-02-01
"2938242",2021-02-10 10:45:13,"SLA8","Cumple",2021-02-01
"2938244",2021-02-10 10:46:17,"SLA8","Cumple",2021-02-01
"2938250",2021-02-10 10:47:54,"SLA8","Cumple",2021-02-01
"2938263",2021-02-10 10:50:02,"SLA8","Cumple",2021-02-01
"2938264",2021-02-10 10:51:35,"SLA8","Cumple",2021-02-01
"2938305",2021-02-10 11:02:45,"SLA8","Cumple",2021-02-01
"2938324",2021-02-10 10:58:48,"SLA8","Cumple",2021-02-01
"2938439",2021-02-10 12:07:09,"SLA8","Cumple",2021-02-01
"2938541",2021-02-10 12:39:50,"SLA8","Cumple",2021-02-01
"2938619",2021-02-10 15:08:44,"SLA8","Cumple",2021-02-01
"2938620",2021-02-10 15:19:12,"SLA8","Cumple",2021-02-01
"2938650",2021-02-10 14:45:00,"SLA8","Cumple",2021-02-01
"2938734",2021-02-10 15:01:31,"SLA8","Cumple",2021-02-01
"2938785",2021-02-10 15:16:02,"SLA8","Cumple",2021-02-01
"2938874",2021-02-10 18:20:25,"SLA8","Cumple",2021-02-01
"2938918",2021-02-10 16:58:19,"SLA8","Cumple",2021-02-01
"2939431",2021-02-11 09:36:04,"SLA8","Cumple",2021-02-01
"2939461",2021-02-11 14:35:44,"SLA8","Cumple",2021-02-01
"2939485",2021-02-11 14:02:40,"SLA8","Cumple",2021-02-01
"2939486",2021-02-11 13:27:26,"SLA8","Cumple",2021-02-01
"2939609",2021-02-11 09:45:56,"SLA8","Cumple",2021-02-01
"2939645",2021-02-11 10:09:22,"SLA8","Cumple",2021-02-01
"2939654",2021-02-11 13:29:04,"SLA8","Cumple",2021-02-01
"2939656",2021-02-11 15:40:49,"SLA8","Cumple",2021-02-01
"2939826",2021-02-11 13:33:36,"SLA8","Cumple",2021-02-01
"2939865",2021-02-11 13:39:54,"SLA8","Cumple",2021-02-01
"2939899",2021-02-11 13:37:33,"SLA8","Cumple",2021-02-01
"2939996",2021-02-11 15:00:53,"SLA8","Cumple",2021-02-01
"2940122",2021-02-11 15:38:06,"SLA8","Cumple",2021-02-01
"2940267",2021-02-11 17:11:15,"SLA8","Cumple",2021-02-01
"2940357",2021-02-12 15:18:20,"SLA8","Incumple",2021-02-01
"2940410",2021-02-11 17:31:27,"SLA8","Cumple",2021-02-01
"2940414",2021-02-11 19:18:15,"SLA8","Cumple",2021-02-01
"2940459",2021-02-11 17:41:33,"SLA8","Cumple",2021-02-01
"2940485",2021-02-11 17:59:32,"SLA8","Cumple",2021-02-01
"2940493",2021-02-11 18:23:38,"SLA8","Cumple",2021-02-01
"2940509",2021-02-11 18:39:05,"SLA8","Cumple",2021-02-01
"2940626",2021-02-11 18:35:20,"SLA8","Cumple",2021-02-01
"2940672",2021-02-11 19:24:50,"SLA8","Cumple",2021-02-01
"2940679",2021-02-11 19:14:50,"SLA8","Cumple",2021-02-01
"2940704",2021-02-11 20:43:21,"SLA8","Cumple",2021-02-01
"2940717",2021-02-11 20:08:49,"SLA8","Cumple",2021-02-01
"2940719",2021-02-11 21:04:52,"SLA8","Cumple",2021-02-01
"2940731",2021-02-11 21:14:34,"SLA8","Cumple",2021-02-01
"2940746",2021-02-11 21:31:21,"SLA8","Cumple",2021-02-01
"2940747",2021-02-11 21:53:50,"SLA8","Cumple",2021-02-01
"2940755",2021-02-11 22:27:35,"SLA8","Cumple",2021-02-01
"2941020",2021-02-16 18:46:46,"SLA8","Cumple",2021-02-01
"2941192",2021-02-12 12:53:55,"SLA8","Cumple",2021-02-01
"2941466",2021-02-16 17:53:24,"SLA8","Incumple",2021-02-01
"2941485",2021-02-16 17:55:25,"SLA8","Incumple",2021-02-01
"2941513",2021-04-23 15:05:57,"SLA8","Cumple",2021-04-01
"2941833",2021-02-15 10:40:19,"SLA8","Cumple",2021-02-01
"2942026",2021-02-12 18:20:22,"SLA8","Cumple",2021-02-01
"2942772",2021-02-15 11:03:26,"SLA8","Cumple",2021-02-01
"2943129",2021-02-15 12:47:37,"SLA8","Cumple",2021-02-01
"2943230",2021-02-15 10:27:45,"SLA8","Cumple",2021-02-01
"2943501",2021-02-15 12:44:06,"SLA8","Cumple",2021-02-01
"2943854",2021-02-15 16:08:28,"SLA8","Cumple",2021-02-01
"2943894",2021-02-16 17:35:47,"SLA8","Cumple",2021-02-01
"2943912",2021-02-16 17:34:22,"SLA8","Cumple",2021-02-01
"2943965",2021-02-15 19:51:46,"SLA8","Cumple",2021-02-01
